scan_date,retailer,country,brand,product_name,sku_observed,size,ean,current_price,currency,in_stock
2025-02-11,ICI Paris XL,NL,Anua Paris,[EU] [4EA] PEACH 70 NIACIN BRIGHTENING COLLAGEN MASK,ANU32,30ml,8809640739033,9.82,EUR,Y
2025-02-11,Galeries Lafayette,FR,anua,[EU] [4EA] PEACH 70 NIACIN BRIGHTENING COLLAGEN MASK,ANU87,100ml,8809640739033,12.56,EUR,Y
2025-02-12,Notino,FR,Kevin Murphy  Paris,Kevin.Murphy Ever.Bounce 150ml,KEV22,5.1 oz,9339341022619,17.67,EUR,N
2025-02-12,De Bijenkorf,NL,KEVIN MURPHY ,Kevin.Murphy Ever.Bounce 150ml,KEV85,5.1 oz,9339341022619,17.13,EUR,Y
2025-02-11,FragranceX,US,Kevin Murphy ,Kevin.Murphy Ever.Bounce 150ml,KEV93,150.0ml,9339341022619,18.61,USD,Y
2025-02-10,Harrods,UK,Kevin,Kevin.Murphy Ever.Bounce 150ml,KEV40,150ML,9339341022619,19.4,GBP,Y
2025-02-12,Galeries Lafayette,FR,Mancera,Mancera Wind Wood EDP 120ml,MAN72,120ML,3760265191321,112.65,EUR,N
2025-02-11,Douglas,NL,Sisley,Sisley Le Phyto-Rouge 15 Beige Manhattan,SIS17,100ml,3473311703613,27.64,EUR,Y
2025-02-10,Douglas,DE,sisley,Sisley Le Phyto-Rouge 15 Beige Manhattan,SIS49,100ml,3473311703613,32.81,EUR,N
2025-02-12,Kruidvat,NL,Sisley Paris,Sisley Le Phyto-Rouge 15 Beige Manhattan,SIS39,50ml,3473311703613,40.06,EUR,Y
2025-02-11,ICI Paris XL,BE,Sisley Paris,Sisley Le Phyto-Rouge 15 Beige Manhattan,SIS24,30ml,3473311703613,26.83,EUR,Y
2025-02-12,Sephora,FR,Cosrx,Hydirum Watery Toner_150ml,COS68,150ML,8809598451919,6.65,EUR,Y
2025-02-10,ICI Paris XL,NL,cosrx,Hydirum Watery Toner_150ml,COS23,150ml,8809598451919,6.77,EUR,Y
2025-02-11,ICI Paris XL,BE,Cosrx,Hydirum Watery Toner_150ml,COS79,150ML,8809598451919,7.48,EUR,Y
2025-02-10,Selfridges,UK,cosrx,Hydirum Watery Toner_150ml,COS96,150ML,8809598451919,7.22,GBP,N
2025-02-10,Douglas,NL,BOHOBOCO PERFUME,Bohoboco Perfume Dark Vinyl Musk Edp 50Ml  ,BOH33,50.0ml,1000279,59.2,EUR,N
2025-02-10,Etos,NL,Bohoboco Perfume Paris,Bohoboco Perfume Dark Vinyl Musk Edp 50Ml  ,BOH20,50.0ml,1000279,53.55,EUR,Y
2025-02-11,Douglas,DE,Bohoboco Perfume Paris,Bohoboco Perfume Dark Vinyl Musk Edp 50Ml  ,BOH48,50ml,1000279,45.01,EUR,N
2025-02-10,De Bijenkorf,NL,Nasomatto,Nasomatto Nudiflorum 30 ml,NAS97,1.0 oz,8717774840337,93.23,EUR,Y
2025-02-11,Galeries Lafayette,FR,CLIVE CHRISTIAN,Crown Collection Town & Country 50ml,CLI52,50ml,652638014838,237.58,EUR,Y
2025-02-10,Galeries Lafayette,FR,Comfort Zone,Comfort Zone  Tranquillity Candle 280g,COM32,30ml,8004608505327,18.03,EUR,Y
2025-02-11,The Perfume Shop,UK,COMFORT ZONE,Comfort Zone  Tranquillity Candle 280g,COM58,30ml,8004608505327,15.43,GBP,Y
2025-02-12,Douglas,DE,ComfortZone,Comfort Zone  Tranquillity Candle 280g,COM18,30ml,8004608505327,18.71,EUR,N
2025-02-11,The Perfume Shop,UK,Creed Paris,Creed Aventus Cologne (M) EDP 100ml Tester,CRE94,100ml,3508441001299,227.17,GBP,Y
2025-02-11,Douglas,DE,CREED,Creed Aventus Cologne (M) EDP 100ml Tester,CRE70,100 ml,3508441001299,226.06,EUR,Y
2025-02-12,Notino,FR,Nuxe,"Set Nuxe: Sweet Lemon, Moisturizing, Hand Cream, 30 ml + Sweet Lemon, Lip Balm, 4 g",NUX96,1.0 oz,3264680039508,9.67,EUR,Y
2025-02-12,Kruidvat,NL,nuxe,"Set Nuxe: Sweet Lemon, Moisturizing, Hand Cream, 30 ml + Sweet Lemon, Lip Balm, 4 g",NUX92,30.0ml,3264680039508,9.86,EUR,N
2025-02-11,Sephora,FR,Nuxe,"Set Nuxe: Sweet Lemon, Moisturizing, Hand Cream, 30 ml + Sweet Lemon, Lip Balm, 4 g",NUX32,30ML,3264680039508,9.29,EUR,Y
2025-02-11,Douglas,NL,Cathy Doll Paris,Ultra Light Sun Mist SPF50+ PA++++ 40ml Cathy Doll (F) (Y2024),CAT60,40.0ml,8858842052648,14.37,EUR,Y
2025-02-10,Kruidvat,NL,Bond No. 9,CHELSEA NIGHTS TESTER,BON32,50ml,888874057517,100.27,EUR,Y
2025-02-11,The Perfume Shop,UK,BOND NO. 9,CHELSEA NIGHTS TESTER,BON69,,888874057517,123.37,GBP,N
2025-02-12,Etos,NL,bond no. 9,CHELSEA NIGHTS TESTER,BON86,50ml,888874057517,115.32,EUR,N
2025-02-11,Galeries Lafayette,FR,Bond No. 9,CHELSEA NIGHTS TESTER,BON93,30ml,888874057517,134.5,EUR,Y
2025-02-10,Etos,NL,Nishane,Nishane Vain & Naive EXDP 50ml (Tester),NIS91,50ML,6975061409984,57.61,EUR,Y
2025-02-11,Selfridges,UK,NISHANE,Nishane Vain & Naive EXDP 50ml (Tester),NIS98,50ml,6975061409984,38.09,GBP,N
2025-02-10,ICI Paris XL,BE,NISHANE,Nishane Vain & Naive EXDP 50ml (Tester),NIS16,50 ml,6975061409984,67.54,EUR,N
2025-02-11,Harrods,UK,Nishane Paris,Nishane Vain & Naive EXDP 50ml (Tester),NIS20,50ML,6975061409984,40.63,GBP,Y
2025-02-12,The Perfume Shop,UK,new notes,Tester MANGOMINA EXTRAIT DE PARFUM 60ml,NEW25,60 ml,8051706742352,50.65,GBP,Y
2025-02-11,Kruidvat,NL,New Notes Paris,Tester MANGOMINA EXTRAIT DE PARFUM 60ml,NEW28,2.0 oz,8051706742352,57.06,EUR,Y
2025-02-11,Galeries Lafayette,FR,Nishane,Nishane Sultan Vetiver EXDP 50ml,NIS43,50ML,8681008055487,94.14,EUR,Y
2025-02-11,Douglas,DE,Nishane Paris,Nishane Sultan Vetiver EXDP 50ml,NIS46,1.7 oz,8681008055487,106.01,EUR,Y
2025-02-11,De Bijenkorf,NL,Nishane,Nishane Sultan Vetiver EXDP 50ml,NIS40,50ml,8681008055487,109.86,EUR,Y
2025-02-11,Douglas,DE,MindGames,MG Soulmate Sissa 100ml,MIN80,3.4 oz,850034671628,227.82,EUR,Y
2025-02-11,The Perfume Shop,UK,Mind Games,MG Soulmate Sissa 100ml,MIN46,100ML,850034671628,168.74,GBP,Y
2025-02-12,ICI Paris XL,BE,Schwarzkopf,FC Vib. Brume Thermo. 150ml,SCH27,150.0ml,4045787860146,133.22,EUR,N
2025-02-11,Notino,FR,Schwarzkopf,FC Vib. Brume Thermo. 150ml,SCH96,150ML,4045787860146,120.94,EUR,Y
2025-02-11,Galeries Lafayette,FR,Philip Kingsley  Paris,One More Day Dry Shampoo 200ml,PHI50,200ml,5060305128910,22.02,EUR,Y
2025-02-10,Selfridges,UK,Philip,One More Day Dry Shampoo 200ml,PHI48,200ml,5060305128910,21.61,GBP,Y
2025-02-11,Notino,FR,PHILIP KINGSLEY ,One More Day Dry Shampoo 200ml,PHI40,200.0ml,5060305128910,17.3,EUR,Y
2025-02-10,Etos,NL,Philip,One More Day Dry Shampoo 200ml,PHI10,200 ml,5060305128910,22.52,EUR,Y
2025-02-10,ICI Paris XL,NL,As I Am,As I Am Dry & Itchy Leave In Conditioner 237ml,AS 61,237 ml,858380035323,101.78,EUR,Y
2025-02-12,ICI Paris XL,BE,AS I AM,As I Am Dry & Itchy Leave In Conditioner 237ml,AS 99,237.0ml,858380035323,141.75,EUR,Y
2025-02-10,Notino,NL,AS I AM,As I Am Dry & Itchy Leave In Conditioner 237ml,AS 81,237ml,858380035323,139.47,EUR,Y
2025-02-11,Kruidvat,NL,As,As I Am Dry & Itchy Leave In Conditioner 237ml,AS 92,237.0ml,858380035323,110.39,EUR,Y
2025-02-11,The Perfume Shop,UK,embryolisse,Hydra Serum Flacon,EMB82,100ml,3350900001322,10.7,GBP,Y
2025-02-10,Galeries Lafayette,FR,embryolisse,Hydra Serum Flacon,EMB34,30ml,3350900001322,9.91,EUR,N
2025-02-11,Douglas,NL,Embryolisse,Hydra Serum Flacon,EMB93,,3350900001322,12.83,EUR,Y
2025-02-12,The Perfume Shop,UK,Nuxe Paris,Huile Prodigieuse Floral ,NUX11,,3264680024382,18.58,GBP,Y
2025-02-11,Harrods,UK,French Avenue Paris,Cocoa Morado (NP522) Edp 100ml ,FRE91,100ml,6290360378602,25.8,GBP,Y
2025-02-11,Douglas,DE,French Avenue,Cocoa Morado (NP522) Edp 100ml ,FRE31,100ml,6290360378602,31.4,EUR,Y
2025-02-11,FragranceX,US,FrenchAvenue,Cocoa Morado (NP522) Edp 100ml ,FRE66,3.4 oz,6290360378602,24.09,USD,Y
2025-02-10,Douglas,NL,French Avenue Paris,Cocoa Morado (NP522) Edp 100ml ,FRE28,100ml,6290360378602,30.02,EUR,Y
2025-02-12,The Perfume Shop,UK,Xerjoff,Xerjoff Erba Pura EDP 50ml,XER99,50ml,8033488158989,18.79,GBP,Y
2025-02-12,Douglas,NL,Xerjoff,Xerjoff Erba Pura EDP 50ml,XER33,50ML,8033488158989,25.47,EUR,Y
2025-02-11,Etos,NL,Xerjoff,Xerjoff Erba Pura EDP 50ml,XER87,1.7 oz,8033488158989,18.56,EUR,Y
2025-02-10,Galeries Lafayette,FR,Mizon,Mizon All In One Snail Repair Cream,MIZ74,50ml,8809663751654,21.09,EUR,N
2025-02-11,Galeries Lafayette,FR,Mesoestetic,Mesoestetic Energy C complex 4x7ml,MES61,7 ml,8436024753998,35.66,EUR,N
2025-02-10,ICI Paris XL,BE,mesoestetic,Mesoestetic Energy C complex 4x7ml,MES68,7ml,8436024753998,34.09,EUR,Y
2025-02-11,ICI Paris XL,NL,mesoestetic,Mesoestetic Energy C complex 4x7ml,MES56,0.2 oz,8436024753998,31.76,EUR,Y
2025-02-11,The Perfume Shop,UK,collistar,BURRO STRUCCANTE DETERGENTE 100 ml,COL64,100.0ml,8015150219266,13.9,GBP,N
2025-02-11,ICI Paris XL,NL,Collistar Paris,BURRO STRUCCANTE DETERGENTE 100 ml,COL27,100ML,8015150219266,15.75,EUR,N
2025-02-12,Kruidvat,NL,Collistar,BURRO STRUCCANTE DETERGENTE 100 ml,COL60,3.4 oz,8015150219266,13.91,EUR,Y
2025-02-11,Douglas,DE,EsteeLauder,Estee Lauder Advanced Night Repair Synchronized Multi-Recovery Complex 7ml,EST17,7ml,887167517240,3.58,EUR,Y
2025-02-11,ICI Paris XL,BE,tiziana terenzi,Tiziana Terenzi Linea TT Sea Stars - Telea EXDP 100ml,TIZ57,100.0ml,8016741502606,284.6,EUR,Y
2025-02-10,Etos,NL,Hermes,EAU DE RHUBARBE ECARLATE EDC 100 ML ,HER55,100.0ml,3346132003531,56.36,EUR,Y
2025-02-12,Galeries Lafayette,FR,Medik8,Medik8 Daily Radiance Vitamine C 50ml,MED26,1.7 oz,818625024543,47.31,EUR,Y
2025-02-12,ICI Paris XL,NL,Medik8 Paris,Medik8 Daily Radiance Vitamine C 50ml,MED89,50 ml,818625024543,53.2,EUR,N
2025-02-10,ICI Paris XL,BE,MEDIK8,Medik8 Daily Radiance Vitamine C 50ml,MED82,1.7 oz,818625024543,46.58,EUR,Y
2025-02-10,ICI Paris XL,NL,AtelierDesOrs,Atelier Des Ors Rouge EDP 100ml (Tester),ATE95,100.0ml,3760027140710,58.84,EUR,Y
2025-02-10,ICI Paris XL,BE,Atelier Des Ors Paris,Atelier Des Ors Rouge EDP 100ml (Tester),ATE85,100ML,3760027140710,59.23,EUR,Y
2025-02-12,Selfridges,UK,AtelierDesOrs,Atelier Des Ors Rouge EDP 100ml (Tester),ATE99,100ML,3760027140710,50.09,GBP,Y
2025-02-12,Douglas,NL,AnastasiaBeverlyHills,Anastasia Beverly Hills Brow Wiz - Chocolate,ANA13,100ml,689304860086,26.8,EUR,Y
2025-02-11,ICI Paris XL,BE,AnastasiaBeverlyHills,Anastasia Beverly Hills Brow Wiz - Chocolate,ANA63,100ml,689304860086,25.14,EUR,Y
2025-02-11,Notino,FR,anastasia beverly hills,Anastasia Beverly Hills Brow Wiz - Chocolate,ANA27,50ml,689304860086,27.25,EUR,N
2025-02-11,Selfridges,UK,GUCCI,GUCCI ROUGE A LEVRES SATIN LIPSTICK,GUC36,50ml,3616303466701,38.67,GBP,Y
2025-02-12,Douglas,NL,gucci,GUCCI ROUGE A LEVRES SATIN LIPSTICK,GUC53,,3616303466701,48.82,EUR,Y
2025-02-12,Etos,NL,Avene,Avene AV DEMAQ TONING LOTION 200ML ,AVE35,200.0ml,3282770152517,17.89,EUR,Y
2025-02-11,De Bijenkorf,NL,Avene Paris,Avene AV DEMAQ TONING LOTION 200ML ,AVE70,200.0ml,3282770152517,18.68,EUR,Y
2025-02-10,ICI Paris XL,BE,avene,Avene AV DEMAQ TONING LOTION 200ML ,AVE73,200 ml,3282770152517,15.2,EUR,Y
2025-02-11,Douglas,NL,Filorga,Filorga NCEF-Night Mask 50ml,FIL63,1.7 oz,3540550008523,26.06,EUR,N
2025-02-11,Etos,NL,XERJOFF,Xerjoff Blend GrooveXcape 50ml Parfum TESTER,XER92,50.0ml,8054320901471,71.31,EUR,Y
2025-02-11,Notino,NL,Xerjoff,Xerjoff Blend GrooveXcape 50ml Parfum TESTER,XER96,50 ml,8054320901471,67.75,EUR,Y
